journal;volume;year;isbn;pages
Rev. Int. Géomatique;24;2014;0-221-49009-4;158
CoRR;abs/2104.02755;2021;1-331-13567-2;384
Cyberpsychology Behav. Soc. Netw.;8;2005;1-62519-489-7;271
CoRR;abs/1902.10949;2019;1-359-86818-6;117
CoRR;abs/0906.5394;2009;1-191-73521-4;326
Softw. Pract. Exp.;46;2016;0-478-24985-3;331
ACM Trans. Embed. Comput. Syst.;6;2007;0-06-183028-3;393
SIAM J. Sci. Comput.;13;1992;1-228-74298-7;311
J. Quant. Linguistics;13;2006;0-88294-668-4;103
CoRR;abs/2012.14564;2020;1-4149-9593-8;291
ACM Trans. Inf. Syst.;29;2011;0-402-51306-1;224
World Wide Web;22;2019;1-64213-512-7;177
CoRR;abs/0804.0273;2008;1-243-35423-2;390
SIAM J. Sci. Comput.;23;2001;0-7305-7795-3;245
ACM Trans. Comput. Log.;7;2006;0-389-29922-7;128
Swarm Evol. Comput.;37;2017;0-907197-78-7;220
Eur. J. Comb.;70;2018;0-17-800449-9;266
Finance Stochastics;13;2009;0-89773-992-2;295
J. Symb. Log.;43;1978;1-07-791383-4;207
Image Vis. Comput.;27;2009;1-214-43603-X;212
Comput. Secur.;19;2000;1-972763-75-X;382
Int. J. Syst. Sci.;31;2000;0-670-45082-0;294
Electron. Commun. Eur. Assoc. Softw. Sci. Technol.;30;2010;1-60304-430-2;140
CoRR;abs/2107.08550;2021;1-78650-815-X;102
Interactions;17;2010;0-05-037937-2;321
LDV Forum;5;1988;0-89312-158-4;145
CoRR;abs/2002.06476;2020;1-03-032444-1;129
CoRR;abs/1606.04319;2016;0-09-184471-1;226
Comput. J.;27;1984;0-06-220073-9;364
CoRR;abs/2010.15234;2020;1-02-035554-9;247
CoRR;abs/2106.11808;2021;0-10-842694-7;169
CoRR;cs.OH/0306024;2003;1-386-97044-1;231
J. Sci. Comput.;50;2012;1-4490-5714-4;113
J. Digit. Imaging;9;1996;0-15-722240-3;330
RFC;417;1972;1-116-39995-4;287
CoRR;abs/1902.00503;2019;0-8114-7223-X;301
J. Enterp. Inf. Manag.;22;2009;1-74802-506-6;194
CoRR;abs/1912.02045;2019;1-879506-59-9;217
CoRR;abs/1903.03372;2019;1-323-52139-9;338
Frontiers Comput. Neurosci.;7;2013;1-86288-144-8;160
J. Adv. Comput. Intell. Intell. Informatics;24;2020;0-213-80924-9;320
Scientometrics;83;2010;1-5178-4296-4;181
J. Field Robotics;24;2007;0-224-24464-7;396
J. Algorithms;54;2005;0-7247-4614-5;267
Theor. Comput. Sci.;146;1995;0-318-16581-3;156
Microelectron. J.;95;2020;0-7521-6927-0;161
CoRR;abs/2006.05815;2020;1-173-96236-0;243
CoRR;abs/1805.08273;2018;0-442-04405-4;350
IEEE Multim.;8;2001;1-924862-68-9;303
IEEE Trans. Circuits Syst. Video Technol.;9;1999;0-09-490487-1;242
J. Grid Comput.;14;2016;1-969297-46-8;318
IEEE Computer Graphics and Applications;34;2014;1-237-69414-0;302
J. Funct. Log. Program.;2000;2000;1-161-33261-8;194
CoRR;abs/2109.03413;2021;1-255-15071-8;119
CoRR;abs/1904.09381;2019;0-482-83893-0;139
IEEE Trans. Geosci. Remote. Sens.;29;1991;1-359-50618-7;176
J. Frankl. Inst.;355;2018;0-05-514502-7;150
CoRR;abs/2112.14052;2021;1-71335-627-9;272
CoRR;abs/1509.03000;2015;1-325-46489-9;384
ACM Trans. Inf. Syst. Secur.;11;2008;1-57646-470-9;400
CoRR;abs/1301.0585;2013;1-70404-543-6;229
Int. J. Wirel. Mob. Comput.;1;2005;1-68342-751-3;199
Computer;23;1990;0-88178-666-7;260
J. Syst. Softw.;80;2007;0-7941-5590-1;357
Comput. Graph.;18;1994;1-266-80978-3;224
Random Struct. Algorithms;40;2012;0-655-14511-7;344
J. Signal Process. Syst.;66;2012;0-9599931-6-9;233
Comput. Graph. Forum;34;2015;1-56900-829-9;213
CoRR;abs/2201.09448;2022;0-624-22648-4;208
CoRR;abs/2202.13511;2022;1-56461-998-2;201
Computing;86;2009;1-250-27944-5;143
IEEE Trans. Commun.;70;2022;0-04-242340-6;122
ACM Trans. Math. Softw.;24;1998;1-68909-924-0;225
CoRR;abs/1606.00111;2016;0-9727471-8-4;271
CoRR;abs/1507.03217;2015;0-9693588-9-X;233
CoRR;abs/1302.6634;2013;1-121-06668-2;339
CoRR;abs/1904.05877;2019;1-4825-6378-9;223
Int. J. Interdiscip. Telecommun. Netw.;10;2018;1-4524-7520-2;239
CoRR;abs/2004.08991;2020;1-4465-8815-7;361
J. Mach. Learn. Res.;18;2017;0-586-11389-4;122
Integr.;62;2018;0-465-52797-3;242
Br. J. Educ. Technol.;50;2019;1-5440-3598-5;193
Astron. Comput.;32;2020;1-60180-013-4;375
Neurocomputing;269;2017;1-307-87702-8;228
Int. J. Fuzzy Syst.;20;2018;0-674-73423-8;289
CoRR;abs/1506.03379;2015;0-563-80047-X;294
IEEE Commun. Lett.;10;2006;0-305-13400-0;149
CoRR;abs/1712.05497;2017;1-05-417430-X;136
CoRR;abs/2105.01902;2021;1-7342316-2-9;164
Ind. Manag. Data Syst.;117;2017;0-03-110008-2;347
IEEE Trans. Circuits Syst. I Regul. Pap.;60-I;2013;1-84523-679-3;308
Finite Fields Their Appl.;12;2006;0-334-79108-1;345
CoRR;abs/1301.0559;2013;1-58026-210-4;356
Neurocomputing;32-33;2000;0-7642-7576-3;259
Signal Process.;87;2007;1-961446-46-4;150
CoRR;abs/2110.08589;2021;1-4007-0623-8;397
CoRR;abs/2202.08906;2022;0-231-87466-9;187
Comput. Aided Civ. Infrastructure Eng.;23;2008;0-9852070-0-0;297
Parallel Comput.;55;2016;0-7052-4426-1;162
ACM SIGAPL APL Quote Quad;5;1974;0-601-20420-4;180
Pattern Recognit.;95;2019;1-66350-201-3;262
CoRR;abs/1902.06239;2019;1-4057-0185-4;263
CoRR;abs/2010.11401;2020;0-07-351425-X;129
Autom.;122;2020;0-323-62693-9;198
Int. J. Syst. Sci.;39;2008;1-4792-6042-8;324
Bioinform.;18;2002;1-272-81918-3;176
J. Assoc. Inf. Sci. Technol.;56;2005;1-70835-954-0;236
CoRR;abs/1206.3320;2012;0-8026-4387-6;108
CoRR;abs/1310.1709;2013;1-5083-7436-8;285
ACM Trans. Model. Perform. Evaluation Comput. Syst.;1;2016;1-877052-14-0;374
Multiagent Grid Syst.;14;2018;1-227-76830-3;247
South Afr. Comput. J.;32;2004;1-63915-681-X;241
J. Comput. Sci. Technol.;9;1994;0-524-68406-5;149
Inf. Sci.;131;2001;0-15-321416-3;110
Rev. Colomb. de Computación;21;2020;1-58482-961-3;158
CoRR;abs/1409.6637;2014;1-61904-426-9;287
Lang. Linguistics Compass;1;2007;0-10-136134-3;217
New Gener. Comput.;11;1993;0-422-85790-4;273
Int. J. Web Based Communities;7;2011;1-5095-4005-9;107
Libr. Trends;63;2014;0-258-51192-3;389
CoRR;abs/1906.00156;2019;1-933474-74-2;245
CoRR;abs/1906.00038;2019;1-67324-125-5;179
J. Comput. Sci.;24;2018;1-4111-5295-6;146
Briefings Bioinform.;17;2016;1-5451-0452-2;295
IEEE Trans. Biomed. Eng.;61;2014;1-01-946299-X;392
CoRR;abs/2006.11282;2020;0-17-654352-X;132
Manag. Sci.;48;2002;1-196-12711-5;184
Concurr. Comput. Pract. Exp.;24;2012;1-243-99585-8;127
IEEE Trans. Pattern Anal. Mach. Intell.;5;1983;1-80550-292-1;201
Discret. Math.;113;1993;0-623-80119-1;166
J. Netw. Comput. Appl.;59;2016;1-339-02200-1;370
SIAM J. Appl. Math.;59;1998;1-255-39907-4;341
Eur. J. Inf. Syst.;10;2001;0-530-33700-2;247
Wirel. Eng. Technol.;2;2011;0-7754-8716-3;373
Log. J. IGPL;6;1998;0-9651813-3-2;204
CoRR;abs/2005.00331;2020;1-4964-5259-3;113
CoRR;abs/1004.1208;2010;0-86528-209-9;387
SIGMETRICS Perform. Evaluation Rev.;43;2015;1-179-46464-8;244
Int. J. Interact. Multim. Artif. Intell.;3;2014;0-9828396-9-3;168
Ind. Manag. Data Syst.;113;2013;0-87452-173-4;149
CoRR;abs/2111.15537;2021;0-7962-3694-1;356
CoRR;abs/1303.7149;2013;0-238-38105-6;100
NeuroImage;171;2018;1-03-275542-3;367
Pattern Recognit.;120;2021;0-10-292125-3;191
IEEE Trans. Circuits Syst. I Regul. Pap.;52-I;2005;0-7894-2546-7;211
IEEE J. Sel. Top. Signal Process.;6;2012;0-563-97155-X;158
IEEE Trans. Image Process.;19;2010;0-929195-18-3;364
Int. J. Space Based Situated Comput.;2;2012;0-03-680440-1;388
J. Parallel Distributed Comput.;65;2005;0-560-56790-1;301
Fundam. Informaticae;124;2013;1-921235-94-2;160
CoRR;abs/2001.07058;2020;1-01-646443-6;335
CoRR;abs/1810.11937;2018;1-171-55088-X;209
Robotics Auton. Syst.;14;1995;1-4902-3593-0;309
Autom. Remote. Control.;76;2015;1-209-50669-6;293
J. Optim. Theory Appl.;169;2016;0-00-052453-0;369
Computación y Sistemas;13;2010;1-72699-914-9;203
J. Inf. Technol.;17;2002;1-396-26949-5;132
Int. J. Reason. based Intell. Syst.;7;2015;1-58295-338-4;324
Mob. Networks Appl.;22;2017;0-615-75793-6;108
CoRR;abs/1901.07013;2019;0-615-41964-X;278
Eur. J. Oper. Res.;215;2011;1-370-09332-2;286
IEEE Trans. Computers;22;1973;0-15-789576-9;237
J. Comput. Inf. Sci. Eng.;17;2017;1-301-63263-5;319
Inf. Comput.;207;2009;1-62315-107-4;118
Int. J. Serv. Technol. Manag.;21;2015;0-256-46311-5;306
IEEE Trans Autom. Sci. Eng.;15;2018;0-7145-6662-4;155
AI Soc.;29;2014;1-5179-2889-3;286
Mach. Vis. Appl.;11;1998;1-4777-4489-4;356
Commun. Nonlinear Sci. Numer. Simul.;108;2022;0-912280-50-6;391
Knowl. Based Syst.;52;2013;1-911015-27-3;384
Nucleic Acids Res.;44;2016;0-08-685857-2;399
Entropy;18;2016;0-13-199089-6;178
Knowl. Based Syst.;231;2021;0-662-69878-9;261
Learn. Publ.;28;2015;1-204-12643-7;213
Int. J. Fuzzy Syst.;19;2017;1-961709-22-8;190
CoRR;abs/1702.05839;2017;0-625-51985-X;348
Image Vis. Comput.;8;1990;1-71124-175-X;236
KSII Trans. Internet Inf. Syst.;6;2012;1-5267-3488-5;141
Comput. Oper. Res.;96;2018;0-01-027319-0;167
J. Funct. Log. Program.;2002;2002;1-902547-28-4;206
CoRR;abs/1512.04564;2015;0-523-74796-9;366
RFC;913;1984;0-324-14724-4;103
Int. J. Commun. Syst.;17;2004;0-934587-60-4;327
Int. J. Comput. Math.;86;2009;1-4978-9710-6;312
Trans. GIS;24;2020;0-02-244668-0;302
OR Spectr.;35;2013;0-363-97683-3;184
CoRR;abs/1912.00166;2019;1-7396725-8-5;129
i-com;8;2009;0-469-79285-X;155
J. Intell. Inf. Syst.;39;2012;1-4086-4422-3;187
ACM SIGMOBILE Mob. Comput. Commun. Rev.;2;1998;1-07-478393-X;172
CoRR;abs/1312.4551;2013;1-05-461335-4;332
CoRR;abs/2011.11117;2020;0-207-74721-0;108
ACM Trans. Reconfigurable Technol. Syst.;8;2015;1-350-59790-2;254
J. Comb. Theory, Ser. B;129;2018;1-954348-43-6;114
IEEE Trans. Computers;26;1977;1-142-05911-1;279
CoRR;abs/2112.06307;2021;1-245-90581-3;130
CoRR;abs/2104.00138;2021;0-209-18421-3;271
Comput. Secur.;1;1982;0-943435-43-9;253
Brain Connect.;1;2011;1-147-03244-0;223
Neurocomputing;94;2012;1-193-60234-3;217
CoRR;abs/1611.00847;2016;0-9824368-6-6;370
J. Funct. Program.;13;2003;0-7779-8332-X;349
Fuzzy Sets Syst.;194;2012;0-9610019-0-9;374
CoRR;abs/2001.03070;2020;0-8233-5878-X;139
Comput. Electr. Eng.;40;2014;1-80773-118-9;357
Proc. IEEE;105;2017;0-9985576-8-4;267
First Monday;16;2011;1-336-00706-0;150
Int. J. Intell. Robotics Appl.;5;2021;1-68320-847-1;206
Finite Fields Their Appl.;50;2018;0-14-848728-9;112
CoRR;abs/2101.05323;2021;0-221-57487-5;186
CoRR;abs/1711.08764;2017;1-84520-329-1;280
CoRR;abs/1707.09558;2017;0-06-863258-4;351
Comput. J.;35;1992;0-672-35222-2;283
Expert Syst. Appl.;72;2017;0-300-00385-4;396
Int. J. Trust. Manag. Comput. Commun.;1;2013;0-299-37401-7;259
Manag. Sci.;53;2007;0-440-80713-1;193
IEEE Trans. Evol. Comput.;13;2009;0-258-79329-5;337
CoRR;abs/1707.09491;2017;1-387-42111-5;155
Softw. Test. Verification Reliab.;31;2021;0-581-99738-7;182
Int. J. Inf. Manag.;58;2021;1-251-41760-4;264
J. Digit. Inf. Manag.;6;2008;0-7453-1219-5;293
CoRR;abs/1605.04160;2016;0-462-00274-8;155
J. Manag. Inf. Syst.;18;2002;0-01-997642-9;183
CoRR;abs/1902.04782;2019;0-316-15081-9;388
CoRR;abs/1610.00070;2016;1-71838-553-6;308
J. Biomed. Informatics;53;2015;0-220-01249-0;267
IEICE Trans. Commun.;93-B;2010;0-09-930393-0;162
Commun. Nonlinear Sci. Numer. Simul.;67;2019;0-400-24276-1;287
Discret. Math.;338;2015;1-4465-9730-X;187
Comput. Geom.;54;2016;1-938434-80-3;295
Electron. Gov. an Int. J.;4;2007;1-4282-8123-1;295
Int. J. Comput. Vis.;23;1997;1-4553-1423-4;344
Bioinform.;26;2010;0-7409-6268-X;121
CoRR;abs/1305.1040;2013;1-63587-889-6;252
CoRR;abs/1701.08378;2017;0-383-48256-9;146
CoRR;abs/1911.08059;2019;1-4577-0602-4;322
Computing;11;1973;0-7609-3834-2;270
Traitement du Signal;36;2019;1-56229-107-6;233
Games Econ. Behav.;126;2021;0-497-37494-3;245
CoRR;cs.HC/0312010;2003;1-59095-801-2;228
Earth Sci. Informatics;10;2017;1-4689-7747-4;250
Electron. J. Comb.;26;2019;0-7631-0527-9;142
J. Comb. Theory, Ser. B;109;2014;0-8327-0783-X;226
IEEE Trans. Syst. Man Cybern. Part C;40;2010;1-5110-5007-1;276
Technometrics;48;2006;0-09-321537-1;151
Dagstuhl Reports;8;2018;0-00-158768-4;178
Stat. Comput.;29;2019;1-07-755816-3;345
Oper. Res.;31;1983;1-4570-8277-2;189
Ad Hoc Networks;49;2016;0-262-28392-1;179
CoRR;abs/1907.05132;2019;1-75420-998-X;353
CoRR;abs/1911.05814;2019;1-272-12787-7;112
Monte Carlo Methods Appl.;25;2019;1-305-71224-2;323
Reliab. Eng. Syst. Saf.;204;2020;0-404-30729-9;256
Aslib J. Inf. Manag.;69;2017;0-564-46416-3;211
Formaliz. Math.;20;2012;0-07-040572-7;216
Microelectron. Reliab.;46;2006;1-168-05827-9;192
Adv. Robotics;14;2000;1-7358275-7-6;234
NeuroImage;235;2021;1-58158-204-8;270
CoRR;abs/1702.07371;2017;1-65445-036-7;181
Ann. des Télécommunications;52;1997;1-129-82133-1;370
Int. J. Syst. Assur. Eng. Manag.;10;2019;0-272-36673-0;324
IET Commun.;4;2010;1-225-21778-4;122
Des. Codes Cryptogr.;16;1999;1-972407-28-7;275
CoRR;abs/2001.00066;2020;1-86758-170-1;109
Discret. Appl. Math.;65;1996;0-7675-4277-0;208
J. Supercomput.;76;2020;0-930816-13-7;249
Comput. Aided Civ. Infrastructure Eng.;37;2022;1-4678-6874-4;271
Signal Process.;80;2000;1-966418-82-5;285
J. Comb. Optim.;11;2006;0-908547-56-0;341
Int. J. High Speed Comput.;9;1997;0-636-17767-X;235
CoRR;abs/1709.00412;2017;1-909394-30-0;140
New Media Soc.;6;2004;0-351-48072-2;316
R J.;9;2017;1-08-221499-X;215
CoRR;abs/2012.09226;2020;0-08-663367-8;296
Mech. Transl. Comput. Linguistics;2;1955;1-63394-265-1;332
Appl. Math. Comput.;338;2018;1-100-34114-5;362
Int. J. Online Eng.;5;2009;0-200-63338-4;236
J. Comb. Theory, Ser. A;66;1994;0-525-24225-2;164
Int. J. Wirel. Inf. Networks;27;2020;0-375-90987-7;134
Comput. Manag. Sci.;10;2013;1-121-13936-1;286
CoRR;abs/1911.07516;2019;0-02-379684-7;350
CoRR;abs/2112.06116;2021;0-09-303378-8;181
Inf. Syst. E Bus. Manag.;12;2014;0-8000-6155-1;146
CoRR;abs/2107.14613;2021;0-698-45951-2;303
Int. J. Parallel Program.;45;2017;0-17-424276-X;287
Proc. VLDB Endow.;10;2016;1-4164-1768-0;333
CoRR;abs/2010.13155;2020;0-07-160835-4;158
Future Gener. Comput. Syst.;31;2014;0-487-44732-8;334
CoRR;abs/1411.0457;2014;0-07-567624-9;338
Evol. Syst.;1;2010;0-610-68164-8;331
Oper. Res. Lett.;33;2005;0-03-151161-9;367
4OR;12;2014;1-299-24392-4;234
Integr. Comput. Aided Eng.;16;2009;0-19-814492-X;399
Int. J. Intell. Comput. Cybern.;7;2014;1-03-833235-4;335
Wirtschaftsinf.;47;2005;1-55815-895-2;316
CoRR;abs/1806.00680;2018;0-03-690015-X;106
Comput. Electron. Agric.;175;2020;0-88297-437-8;331
CoRR;abs/2002.03830;2020;0-00-880965-8;181
Comb.;5;1985;1-386-73025-4;217
CoRR;abs/1703.05568;2017;1-02-228994-2;178
CoRR;abs/1506.07632;2015;0-942330-07-2;170
Des. Codes Cryptogr.;80;2016;0-7791-7198-5;170
J. Intell. Robotic Syst.;94;2019;1-4330-5183-4;342
J. Digit. Imaging;32;2019;1-387-51232-3;241
CoRR;abs/2105.11603;2021;1-84824-930-6;308
Softw. Concepts Tools;17;1996;1-379-70783-8;332
Bull. Symb. Log.;14;2008;0-557-65546-3;321
Ann. Math. Artif. Intell.;50;2007;1-68761-937-9;301
CoRR;abs/1408.0058;2014;1-878228-75-7;307
J. Am. Soc. Inf. Sci.;30;1979;1-79463-711-7;119
J. Syst. Archit.;46;2000;0-8053-1522-5;329
Sci. China Inf. Sci.;59;2016;1-335-55490-4;226
IEEE Trans. Consumer Electron.;47;2001;0-653-85705-5;274
CoRR;abs/2003.09291;2020;1-397-50607-5;350
CoRR;abs/2102.09750;2021;0-401-02169-6;180
CoRR;abs/2202.04369;2022;1-4844-3631-8;207
CoRR;abs/2112.14278;2021;1-4480-2223-1;299
CoRR;abs/1904.05657;2019;1-178-59904-3;398
J. Comput. Sci. Technol.;15;2000;1-258-84235-1;179
Rev. Symb. Log.;8;2015;1-7327732-5-4;377
Math. Program.;169;2018;0-253-47376-4;145
CoRR;abs/1712.08721;2017;0-535-88745-0;366
Eur. J. Oper. Res.;177;2007;0-561-89869-3;122
Soc. Choice Welf.;55;2020;0-267-89232-2;193
CoRR;abs/2002.02830;2020;0-8120-7649-4;308
IEEE Softw.;34;2017;1-7329726-4-8;235
Nucleic Acids Res.;15;1987;0-514-29876-6;164
IEEE Trans. Syst. Man Cybern. Part B;41;2011;0-367-10267-6;128
Fuzzy Sets Syst.;397;2020;1-7337329-8-5;203
J. Electr. Comput. Eng.;2016;2016;1-123-12958-4;385
Computer;53;2020;0-329-41386-4;198
IEEE Micro;25;2005;1-917783-56-6;295
CoRR;abs/1705.00753;2017;1-4739-3102-9;292
CoRR;abs/1808.03730;2018;0-668-11839-3;102
Commun. ACM;21;1978;0-7723-2418-2;163
J. Log. Program.;13;1992;0-254-02283-9;194
Quant. Sci. Stud.;1;2020;1-62079-005-X;153
Datenschutz und Datensicherheit;41;2017;1-79442-077-0;395
Numer. Linear Algebra Appl.;18;2011;0-660-35126-9;306
CoRR;abs/1404.0354;2014;0-906191-86-6;226
Int. J. Intell. Syst.;34;2019;1-68289-140-2;238
J. Parallel Distributed Comput.;28;1995;0-03-550278-9;246
Appl. Soft Comput.;90;2020;0-524-44440-4;109
IEICE Trans. Inf. Syst.;98-D;2015;1-55392-702-8;184
CoRR;abs/2202.09212;2022;0-409-91918-7;210
Inf. Res.;22;2017;1-85081-301-9;115
Oper. Res. Lett.;42;2014;0-7117-3127-6;160
J. Big Data;5;2018;0-699-48825-7;344
J. Comput. Sci.;10;2015;0-8341-3331-8;378
Inf. Process. Lett.;39;1991;1-899991-28-X;353
CoRR;abs/1710.00122;2017;0-8043-8868-7;216
Ad Hoc Networks;71;2018;1-134-91034-7;181
IEEE Trans. Reliab.;45;1996;1-01-576745-1;368
Algorithms;6;2013;1-9792-4581-9;209
J. Complex Networks;7;2019;0-8405-9885-8;389
CoRR;abs/2102.11793;2021;1-71761-642-9;238
IEEE Trans. Knowl. Data Eng.;30;2018;0-631-58582-6;175
CoRR;abs/1809.07593;2018;1-314-34263-0;302
Quantum Inf. Process.;12;2013;0-14-592200-6;357
IEEE Trans. Knowl. Data Eng.;15;2003;1-03-166635-4;170
Inf. Syst. E Bus. Manag.;16;2018;0-12-552224-X;327
Phys. Commun.;45;2021;0-421-72636-9;355
Constraints An Int. J.;13;2008;0-17-342326-4;385
ACM Trans. Comput. Hum. Interact.;19;2012;0-7254-9227-9;302
Int. J. Wavelets Multiresolution Inf. Process.;10;2012;0-521-05716-7;235
CoRR;abs/1104.4607;2011;0-938790-65-X;216
CoRR;abs/1911.05253;2019;1-78461-963-9;265
CoRR;abs/1805.01768;2018;0-12-645253-9;101
AI Mag.;33;2012;0-635-33246-9;397
IEEE J. Sel. Top. Signal Process.;13;2019;0-300-82973-6;195
Oper. Res.;14;1966;1-61616-207-4;385
Discret. Math.;49;1984;1-4017-0754-8;316
J. Softw. Evol. Process.;24;2012;0-254-65643-9;178
Brain Connect.;7;2017;0-8403-3801-5;300
CoRR;abs/1904.03249;2019;0-404-95099-X;175
CoRR;abs/1908.06015;2019;1-4747-5905-X;123
CoRR;abs/1405.2605;2014;0-542-27018-8;225
CoRR;abs/1710.06516;2017;0-623-84352-8;182
Multidimens. Syst. Signal Process.;9;1998;0-9952146-2-X;271
ACM SIGCHI Bull.;25;1993;1-181-58256-3;269
CoRR;abs/1707.00810;2017;1-78478-364-1;302
Int. J. Comput. Appl. Technol.;60;2019;0-7287-2683-1;288
CoRR;abs/2008.10312;2020;0-8289-0252-6;166
Ann. Pure Appl. Log.;32;1986;1-994013-87-7;389
Games Econ. Behav.;75;2012;0-7646-0857-6;179
Knowl. Based Syst.;6;1993;0-339-96127-9;189
CoRR;abs/2001.11542;2020;0-07-264992-5;238
CoRR;abs/2012.03541;2020;1-914683-14-5;188
J. Num. Math.;11;2003;1-00-730595-9;332
IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.;7;2014;0-06-097114-2;104
CoRR;abs/1303.1459;2013;0-03-528635-0;330
CoRR;abs/1809.07502;2018;0-16-488762-8;340
BMC Medical Informatics Decis. Mak.;19-S;2019;1-59277-007-X;134
CoRR;abs/2109.12063;2021;0-7022-7677-4;161
Cogn. Process.;21;2020;0-226-99186-5;124
Int. Arab. J. e Technol.;5;2018;1-251-89882-3;174
Int. J. Bifurc. Chaos;13;2003;1-70986-384-6;322
CoRR;abs/1610.02358;2016;1-4987-1531-1;375
Mach. Transl.;20;2006;1-03-835082-4;335
IEEE Commun. Mag.;42;2004;0-16-140783-8;164
Peer-to-Peer Netw. Appl.;12;2019;0-463-96016-5;377
Ind. Robot;35;2008;0-87716-935-7;100
CoRR;abs/1809.07835;2018;0-396-43102-X;281
Comput. Commun.;172;2021;1-242-47348-3;397
Microelectron. Reliab.;44;2004;0-7028-0787-7;289
CoRR;abs/2006.14749;2020;0-8161-8894-7;210
Math. Comput. Simul.;182;2021;1-7362512-2-8;165
CoRR;abs/1805.04354;2018;0-663-33292-3;324
Autom.;24;1988;1-84148-933-6;201
Cogn. Comput.;11;2019;0-89878-799-8;111
J. Glob. Optim.;45;2009;1-71562-085-2;379
Pattern Recognit.;107;2020;1-09-242440-7;357
Artif. Intell.;135;2002;1-937723-78-X;340
Algorithmica;55;2009;0-09-874012-1;124
CoRR;abs/1703.04797;2017;1-04-690774-3;290
Int. J. Inf. Manag.;54;2020;0-571-18425-1;115
Wirel. Pers. Commun.;65;2012;1-63746-936-5;105
J. Syst. Softw.;25;1994;0-01-829093-0;388
CoRR;abs/1512.02624;2015;0-18-951419-1;315
Bull. dInformatique Approfondie et Appl.;102;2015;0-579-50583-9;231
Appl. Math. Comput.;244;2014;0-419-64787-2;256
IACR Cryptol. ePrint Arch.;2009;2009;0-641-57703-6;372
R J.;12;2020;1-916269-46-X;253
Algorithms;8;2015;0-379-86452-5;320
Electron. Notes Theor. Comput. Sci.;253;2009;0-85675-309-2;336
CoRR;abs/1504.05473;2015;1-4673-9598-6;321
CoRR;abs/2005.12531;2020;0-251-62183-9;331
ACM Comput. Surv.;49;2017;1-969403-74-8;289
CoRR;abs/2110.02453;2021;1-81585-881-8;383
J. Complex.;22;2006;0-457-87607-7;141
IEEE Wirel. Commun.;19;2012;1-68075-331-2;118
Asymptot. Anal.;76;2012;1-08-010843-2;290
Distributed Comput.;19;2007;0-493-91391-2;162
CoRR;abs/2006.16909;2020;0-7102-9897-8;393
Program;14;1980;0-696-10470-9;145
Genet. Program. Evolvable Mach.;12;2011;0-623-88868-8;245
CoRR;abs/2006.07721;2020;0-907972-56-X;353
J. Intell. Robotic Syst.;36;2003;1-4261-5680-4;151
Nucleic Acids Res.;10;1982;1-66692-574-8;112
CoRR;abs/1902.04341;2019;1-4083-5290-7;291
CoRR;abs/1711.04759;2017;1-183-89894-0;218
Model. Assist. Stat. Appl.;4;2009;0-01-117723-3;121
J. Softw.;12;2017;0-16-046112-X;204
IEEE Trans. Ind. Electron.;46;1999;0-472-45950-3;294
J. Chem. Inf. Model.;50;2010;1-348-65287-X;245
Microelectron. J.;93;2019;1-299-05322-X;387
IET Image Process.;9;2015;1-68282-789-5;140
Multim. Tools Appl.;67;2013;1-332-54927-6;358
CoRR;abs/1509.03611;2015;0-420-77459-9;144
J. Philos. Log.;16;1987;1-67703-970-1;304
J. Grid Comput.;7;2009;0-85613-957-2;247
CoRR;abs/2101.11226;2021;0-692-62173-3;128
CoRR;abs/2106.10198;2021;0-675-22443-8;247
Electron. Libr.;33;2015;1-286-36884-7;212
J. Locat. Based Serv.;5;2011;0-671-27937-8;304
J. Cryptol.;2;1990;0-575-00384-7;315
Comput. Biol. Medicine;77;2016;0-541-23929-5;140
CoRR;abs/2009.13698;2020;1-65349-185-X;151
Int. J. Image Graph.;18;2018;0-517-14186-8;273
Eng. Comput.;33;2017;1-4557-2534-X;235
Fundam. Informaticae;53;2002;1-62716-151-1;178
CoRR;abs/1705.02194;2017;1-57857-092-1;354
Ecol. Informatics;61;2021;0-650-17246-9;322
Softw. Eng. J.;10;1995;0-312-29490-5;374
Digit. Signal Process.;23;2013;1-135-01037-4;100
Rev. Avances en Sistemas Informática;10;2013;1-63911-648-6;332
CoRR;abs/2202.12700;2022;1-58153-488-4;206
Adv. Comput. Math.;11;1999;0-296-33160-0;281
CoRR;abs/1612.01770;2016;1-68086-580-3;180
Inf. Serv. Use;26;2006;1-65932-691-5;329
CoRR;abs/2201.06889;2022;1-05-307532-4;224
Inf. Syst. J.;30;2020;1-175-17011-9;155
Multiscale Model. Simul.;13;2015;0-450-31807-9;176
EURASIP J. Adv. Signal Process.;2015;2015;1-57797-553-7;133
PeerJ Prepr.;4;2016;0-86105-998-0;120
Multim. Tools Appl.;43;2009;1-943833-12-5;289
Microprocess. Microsystems;3;1979;1-67678-825-5;323
CoRR;abs/1802.03327;2018;0-398-55640-7;311
CoRR;abs/1811.10228;2018;0-915250-87-X;140
Int. J. Robotics Res.;33;2014;1-5342-5028-X;218
J. Log. Comput.;30;2020;1-970273-48-8;146
Data Intell.;3;2021;0-14-221474-4;267
CoRR;abs/1808.06932;2018;0-13-805848-2;342
Pers. Ubiquitous Comput.;23;2019;0-8168-8602-4;122
Adv. Data Sci. Adapt. Anal.;5;2013;1-272-10839-2;314
