key;title;keywords;abstract;booktitle;year;isbn;reviewers;review_text;pages;author;employer;country
conf/bda/ColletCS94;Efficient and modular reactive capabilities in an Object-Oriented Database System.;Graph Theory|modular reactive capabilities|efficient|Graph Theory|object-oriented database;Quisquam sit modi etincidunt. Voluptatem est quisquam neque est. Quaerat labore dolor adipisci velit aliquam eius adipisci. Amet aliquam porro ut dolorem quiquia. Non quisquam ipsum amet est porro dolore porro. Quisquam dolor sit modi non aliquam. Magnam eius porro consectetur magnam dolorem. Adipisci dolore neque adipisci aliquam est numquam quisquam.;BDA;1994;0-15-464269-X;Christian Jäkel|Alex Orailoglu|H. S. Chiu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;4;Christine Collet;Hankyong National University;KR
conf/prozess/Jensch84;Hilfsmittel zur rechnergestützten Software-Entwicklung und Projektverfolgung für verschiedene Rechnersysteme.;rechnersysteme|hilfsmittel|rechnersysteme|für verschiedene|zur rechnergestützten;Magnam ipsum numquam velit eius quisquam sit. Aliquam voluptatem aliquam amet ipsum eius. Etincidunt numquam ut tempora neque. Non etincidunt quiquia neque magnam modi neque. Dolorem sit labore porro consectetur amet ipsum aliquam. Porro neque non quisquam ipsum. Neque aliquam est tempora aliquam est magnam quisquam.;Fachtagung Prozessrechner;1984;1-285-48916-0;Akira Fukuda|Tamás Lukovszki|Daniel A. Grimaldi;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;22;Peter Jensch;Yorker International University;US
conf/lanmr/0001C19;An extension of the stable semantics via Lukasiewicz logic.;GANs|Classification|GANs|lukasiewicz|GANs;Tempora est ut amet. Etincidunt modi adipisci sed quaerat labore neque. Ipsum eius quiquia amet voluptatem porro numquam sed. Eius modi est amet sit amet. Dolorem etincidunt sit quisquam numquam. Modi ut numquam tempora sit voluptatem magnam aliquam. Non consectetur dolore quaerat quaerat porro. Amet quiquia etincidunt sed numquam labore dolore quaerat. Sit non consectetur amet eius magnam voluptatem. Consectetur sit tempora etincidunt est est.;LANMR;2019;0-900190-79-5;Jacek Mandziuk|Antonio José Ibañez-Molina|Barbara Liskov;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;20;José Luis Carballido;Toho College of Music;JP
conf/hvei/BroekKSV08;Human-centered content-based image retrieval.;Cloud Computing|Machine Learning|Cloud Computing|Big Data|Machine Learning;Quaerat quiquia magnam amet consectetur quiquia adipisci dolorem. Aliquam tempora adipisci eius. Amet quiquia sit labore aliquam quaerat modi aliquam. Adipisci est etincidunt modi dolore eius. Sit dolorem est aliquam. Magnam dolor neque ut dolorem modi dolore voluptatem. Dolorem aliquam neque adipisci. Aliquam modi eius dolore voluptatem.;Human Vision and Electronic Imaging;2008;1-134-83801-8;Jaroslaw Korpysa|Jia Chen|Maider Azanza;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;30;Egon L. van den Broek;Universidad del Salvador;AR
conf/biostec/NevesBUVR15;Influence of Muscle Cross-sectional Area in Skin Temperature.;Big Data|muscle cross-sectional|influence|muscle cross-sectional|influence;Velit amet adipisci quaerat aliquam numquam numquam. Modi dolor sit etincidunt eius velit numquam. Dolor dolor adipisci quiquia quaerat. Sed velit amet amet est aliquam amet labore. Dolorem dolorem adipisci consectetur. Dolorem quiquia modi dolore voluptatem magnam labore.;BIOIMAGING;2015;1-57984-834-6;Almeida Jacqueline Toribio|Guohua Gan|Christoph Steup;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;24;Eduardo Borba Neves;Kherson State University;UA
conf/bigdataconf/DavoudiC16;Prediction of information diffusion in social networks using dynamic carrying capacity.;social networks|social networks|information diffusion|prediction|prediction;Dolor dolorem sit quisquam sit consectetur. Tempora porro labore sed ut adipisci amet. Dolorem dolorem voluptatem quaerat non porro sed. Ipsum consectetur ut quiquia porro consectetur. Adipisci quaerat quiquia tempora. Aliquam numquam ut voluptatem. Aliquam ut quiquia sit velit dolor. Non ipsum neque velit. Modi sed ipsum amet est est est ut.;IEEE BigData;2016;1-4277-1005-8;Fernando Luis-Ferreira|Lorenzo Scalise|Jeremiah D. Deng;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;16;Anahita Davoudi;Port Said University;EG
conf/acsd/Madalinski03;CONFRES: Interactive Coding Conflict Resolver Based on Core Visualisation.;Blockchain|interactive coding|core visualisation|Big Data|resolver based;Modi non quaerat aliquam. Numquam porro quisquam est. Quiquia consectetur quisquam dolore. Eius sit non velit quiquia non dolore adipisci. Numquam sit velit amet quisquam etincidunt velit. Labore quaerat ipsum est numquam modi dolor. Dolore amet dolorem numquam. Ut amet aliquam eius dolore voluptatem. Numquam velit sit ut eius. Non dolor porro modi sed etincidunt consectetur.;ACSD;2003;0-944932-94-0;Lewis Lasser|Alfred Inselberg|David Holloway;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;1;Agnes Madalinski;University of Stavanger;NO
conf/nips/SolanHRE03;Unsupervised Context Sensitive Language Acquisition from a Large Corpus.;Machine Learning|unsupervised context sensitive language acquisition|Regression|Regression|Regression;Quiquia eius amet dolore est adipisci. Dolore modi amet magnam. Sed porro magnam adipisci adipisci sit porro. Eius dolorem quiquia voluptatem velit. Etincidunt labore non adipisci dolorem dolor non dolorem.;NIPS;2003;0-200-85932-3;Xiaolin Chang|Y. Tina Lee|Ting-Hsiang Wang;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;13;David Horn;Fachhochschule Hannover;DE
conf/latin/KlimannP14;A Characterization of Those Automata That Structurally Generate Finite Groups.;Classification|automata|structurally generate finite groups|Blockchain|characterization;Modi consectetur voluptatem ipsum non adipisci. Etincidunt sit labore magnam non dolore. Quaerat non velit dolor numquam quiquia. Tempora dolore magnam consectetur porro sed quisquam. Eius ut dolor porro quiquia neque labore.;LATIN;2014;1-334-30763-6;Boris Jankovic|Abdelaziz Bouras|Oliver Schütze;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;8;Ines Klimann;Czech University of Agriculture Prague;CZ
conf/ic2it/SirikasemsukL17;Analysis of Two-Missing-Observation 4 × 4 Latin Squares Using the Exact Approach.;Blockchain|Data Storage|Data Storage|exact approach|Artificial Intelligence;Quiquia quiquia sed etincidunt. Voluptatem aliquam aliquam neque velit quiquia tempora. Quaerat sed voluptatem velit quiquia numquam voluptatem. Ut etincidunt adipisci aliquam. Labore sed magnam ipsum dolorem adipisci porro.;IC2IT;2017;0-8429-3565-7;Chris C. N. Chu|Runxin Xu|Gabriel Barbosa da Fonseca;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;6;Kanogkan Leerojanaprapa;Universidade Castelo Branco;BR
conf/opaals/AmriteshC10;Digital Ecosystem for Knowledge, Learning and Exchange: Exploring Socio-technical Concepts and Adoption.;adoption|Data Modeling|knowledge|knowledge|Blockchain;Aliquam aliquam dolore quisquam dolore neque dolor. Etincidunt modi dolore dolor velit porro. Velit eius tempora ipsum sed voluptatem dolorem. Adipisci ut tempora quiquia etincidunt amet quaerat eius. Sed amet adipisci dolorem.;OPAALS;2010;0-7153-5199-0;Francisco Ortin|Andreas Paepcke|Hiroshi Harashima;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;9;Amritesh;Tibet University;CN
conf/f-egc/Blanchard14;Motifs récursifs : extraction ascendante hiérarchique d'ensembles d'items ou d'évènements pour le résumé de données transactionnelles ou séquentielles.;extraction ascendante hiérarchique d'ensembles d'items ou d'évènements|Semantic Data|Semantic Data|motifs|Semantic Data;Voluptatem velit modi adipisci non non dolor velit. Dolore velit dolorem aliquam magnam porro eius. Ipsum modi ipsum ut. Non dolorem ipsum quisquam quaerat neque labore quiquia. Amet dolor quiquia sed. Numquam quaerat ut labore modi. Quiquia labore ipsum magnam etincidunt. Quaerat consectetur voluptatem dolor modi amet magnam. Numquam quaerat amet quaerat. Numquam ut numquam aliquam amet tempora numquam.;EGC;2014;1-147-40463-1;Harry Bratt|Arvind M. Patel|Rui-Mei Zhao;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;15;Julien Blanchard 0001;Vassar College;US
conf/or/AndersonH18;A Sweep-Plane Algorithm for the Computation of the Volume of a Union of Polytopes.;GANs|GANs|Cloud Computing|computation|GANs;Non quisquam amet quiquia consectetur ipsum non dolor. Dolor sed etincidunt etincidunt porro porro. Etincidunt sit porro est. Adipisci quisquam dolorem tempora adipisci tempora ipsum. Velit ut voluptatem est velit quaerat sed.;OR;2018;1-72257-377-5;Weiguang Liu|Enrico Cadau|Eunhye Choi;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;7;Benjamin Hiller;Mutesa 1 Royal University;UG
conf/isbi/WendtAC18;Spatially regularized wavelet leader scale-free analysis of fMRI data.;Artificial Intelligence|spatially|wavelet leader scale-free analysis|Artificial Intelligence|Artificial Intelligence;Numquam ut voluptatem voluptatem voluptatem dolore dolor. Quiquia quiquia neque magnam magnam sit voluptatem. Consectetur quaerat magnam est labore dolorem etincidunt. Aliquam tempora eius quiquia etincidunt. Adipisci modi consectetur est adipisci. Quisquam tempora dolorem eius voluptatem quisquam. Quisquam sit dolore non eius neque labore non. Eius quiquia amet dolor. Est amet ipsum sit.;ISBI;2018;0-254-77781-3;Chikara Otani|Thomas J. Housel|Abbas Z. Kouzani;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;21;Herwig Wendt;Universitas Krisnadwipayana;ID
conf/ispe/TerziGC03;Using UML for describing a reference framework for benchmarking production scheduling systems.;Artificial Intelligence|Artificial Intelligence|Data Querying|production scheduling systems|reference framework;Aliquam neque dolore modi velit velit numquam. Dolorem numquam amet dolor est dolor sed modi. Modi est dolorem dolor quaerat. Ut est consectetur labore adipisci porro dolorem. Ut dolor aliquam etincidunt tempora dolor dolore aliquam. Dolore dolore est dolorem modi est dolorem. Magnam aliquam neque adipisci dolore. Est labore aliquam porro.;ISPE CE;2003;0-568-38086-X;Tiangao Gou|Alexei V. Samsonovich|Ivan Montero;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;13;Marco Garetti;Rizal Technological University;PH
conf/icip/RandenH97;Image Content Search by Color and Texture Properties.;image content search|image content search|Cloud Computing|texture properties|color;Sed numquam ut neque quisquam ut. Consectetur sed non voluptatem labore aliquam. Aliquam est voluptatem quisquam amet porro ut eius. Numquam sit dolore amet adipisci modi magnam. Modi est eius quaerat porro quisquam magnam. Aliquam etincidunt ipsum est non. Dolore sed quaerat neque numquam magnam tempora. Amet numquam non voluptatem modi quaerat. Voluptatem velit non modi non consectetur consectetur est. Consectetur ut est amet quiquia.;ICIP (1);1997;0-522-20118-0;Dolores Lerís|Wen Gao 0001|Grzegorz Labiak;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;10;John Håkon Husøy;Tokyo Women's College of Physical Education;JP
conf/nips/HuLC09;Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME).;Machine Learning|sparse circuits|multi-neuronal excitation|Big Data|Machine Learning;Porro dolorem neque neque ut quisquam aliquam labore. Eius est non amet etincidunt. Sed est porro ut porro ut eius modi. Etincidunt tempora consectetur labore dolorem. Dolore labore ipsum dolorem dolore quiquia ut.;NIPS;2009;1-56001-348-6;Kevin Z. Snow|Sonia M. Kutiishi|Fatih Kurugollu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;24;Anthony M. Leonardo;"Universidad Laica ""Eloy Alfaro"" de Manabi";EC
conf/context/Christiansen99;Open Theories and Abduction for Context and Accommodation.;context|theories|abduction|Deep Learning|abduction;Ipsum neque quisquam quiquia ipsum quisquam dolore neque. Porro tempora ipsum consectetur dolor adipisci eius sed. Ipsum eius modi velit quisquam porro dolore. Sed modi non dolor neque. Magnam quaerat voluptatem eius neque. Adipisci eius dolor non. Neque quaerat adipisci neque neque. Neque voluptatem porro modi dolorem ipsum. Adipisci dolore non sed. Ut ut eius modi modi tempora.;CONTEXT;1999;1-4295-5040-6;Boris Koldehofe|Wei Duan|Vishal Monga;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;15;Henning Christiansen 0001;Salem Teikyo University;US
conf/cvpr/ShuXRTZ15;Joint inference of groups, events and human roles in aerial videos.;human roles|human roles|aerial videos|joint|aerial videos;Adipisci etincidunt modi numquam dolore. Dolor quiquia consectetur labore. Labore sit tempora ut aliquam velit. Est dolor voluptatem quaerat voluptatem dolorem. Aliquam consectetur non est etincidunt sit quiquia. Etincidunt eius quiquia est non labore. Ipsum quaerat ut velit.;CVPR;2015;0-9953469-4-1;Shaogang Gong|Manju Bhardwaj|Zihao Wang;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;23;Brandon Rothrock;Tainan National College of the Arts;TW
conf/mipro/PozekSAKVDS19;Performance of Common Classifiers on node2vec Network Representations.;SVMs|performance|network representations|Artificial Intelligence|SVMs;Etincidunt consectetur voluptatem magnam neque velit voluptatem. Porro dolorem labore dolor voluptatem aliquam. Dolorem dolorem ipsum amet. Velit sed ipsum sed non est dolor aliquam. Porro dolore tempora sit quaerat eius. Quiquia neque eius ut. Etincidunt eius dolore dolorem aliquam. Etincidunt eius non neque velit velit.;MIPRO;2019;1-179-57877-5;Markus Holzer 0003|Kazutaka Shimada|Hideaki Komatsu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;2;Adrian Satja Kurdija;St. Petersburg State Technical University;RU
conf/icpr/GildenblatBLK20;Certainty Pooling for Multiple Instance Learning.;Blockchain|Blockchain|certainty pooling|Blockchain|certainty pooling;Quisquam magnam consectetur neque quisquam. Quaerat adipisci modi tempora etincidunt consectetur sed. Quaerat neque labore ut ipsum modi dolorem. Eius voluptatem sit adipisci. Quaerat magnam sed neque voluptatem quisquam. Quiquia ipsum labore dolor. Porro est dolore sed dolorem est ipsum. Ipsum non quiquia velit neque porro consectetur. Voluptatem dolorem magnam non adipisci. Sit porro velit est ut non neque magnam.;ICPR Workshops (1);2020;1-5346-9473-0;Itsuki Noda|Onur Günlü|Deirdre L. Hamilton;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;3;Eldad Klaiman;Al Mansour University College;IQ
conf/dawak/Bhargava00;Security in Data Warehousing.;GANs|Data Storage|Machine Learning|data warehousing;Numquam magnam labore voluptatem quisquam magnam. Non ipsum quiquia amet dolore sed adipisci velit. Est eius adipisci amet velit. Quaerat quisquam dolor sed consectetur. Velit magnam ipsum modi. Sed sit porro magnam.;DaWaK;2000;1-03-959868-4;Guochun Li|Wenyuan Cheng|Manuel Rodríguez 0001;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;19;Bharat K. Bhargava;Qassim Private College;SA
conf/hci/StevensKJOBPRR21;Effectiveness of Self-customized Refresher and Just-In-Time-Training for Mechanical Repair Task Performance.;just-in-time-training|Machine Learning|mechanical repair|Data Management|Machine Learning;Aliquam voluptatem voluptatem labore numquam. Consectetur dolore adipisci quiquia aliquam. Adipisci non quisquam voluptatem. Velit ipsum dolor ut quiquia dolorem est. Eius velit amet sit adipisci amet.;HCI (37);2021;1-07-448514-9;Takashi Kambe|Giuseppe Scanniello|Fang-Xiang Wu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;6;Christopher Stevens;Barcelona Graduate School of Economics;ES
conf/iclr/Meinke020;Towards neural networks that provably know when they don't know.;SVMs|SVMs|towards|neural networks|SVMs;Aliquam quiquia modi dolore ipsum neque aliquam. Modi dolor tempora consectetur tempora. Ipsum amet ipsum labore quiquia numquam. Dolore sed sit modi ipsum tempora adipisci non. Etincidunt eius voluptatem magnam adipisci. Non porro sed amet ipsum labore. Tempora adipisci labore magnam adipisci. Eius amet quaerat magnam adipisci numquam. Consectetur porro ut velit magnam non voluptatem.;ICLR;2020;0-9771363-5-3;Yuval Ishai|Weijie Kong|Hui Jiang 0002;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;3;Alexander Meinke;Al-Birony University;AF
conf/emeit/Ou11;Data structuring and effective retrieval in the mining of web sequential characteristic.;data|effective retrieval|Deep Learning|Data Querying|Data Management;Aliquam dolorem dolorem tempora non labore voluptatem eius. Eius quaerat dolor consectetur adipisci eius magnam non. Non voluptatem sed dolorem quisquam. Quiquia voluptatem labore etincidunt velit aliquam adipisci ipsum. Adipisci amet ipsum etincidunt ut. Dolorem ipsum quaerat dolorem. Quaerat quisquam modi quiquia adipisci. Sit dolor sit dolore neque tempora dolorem neque. Adipisci dolorem sit amet aliquam voluptatem neque tempora.;EMEIT;2011;0-7779-0917-0;Frank Wolter|Elizabeth Broadbent|Xianchuan Yu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;15;Zenggui Ou;Dammam Community College;SA
conf/elpub/ChanOHPA17;Framing a Situated and Inclusive Open Science: Emerging Lessons from the Open and Collaborative Science in Development Network.;Artificial Intelligence|emerging lessons|emerging lessons|collaborative|Artificial Intelligence;Quaerat est eius sit aliquam. Consectetur amet etincidunt magnam aliquam dolorem. Sed numquam consectetur aliquam neque. Adipisci quaerat ipsum velit consectetur ipsum. Eius velit quiquia ipsum est.;ELPUB;2017;0-14-904575-1;Thomas Erkes|Carlos Molina-Jiménez|Andrzej Tutaj;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;13;Alejandro Posada;Suzuka International University;JP
conf/phealth/MartinezMGLB15;EmoBurnout: An Approach for Supporting Burnout Syndrome Diagnosis.;Regression|emoburnout|Data Querying|supporting burnout syndrome diagnosis|emoburnout;Amet neque magnam dolor. Est ut ipsum adipisci labore sed. Dolorem ut aliquam quaerat ut voluptatem quaerat. Est quaerat porro eius tempora neque. Ut quiquia labore non eius velit est amet. Velit tempora sed numquam dolore. Adipisci dolor amet quisquam numquam sed. Dolorem neque numquam voluptatem. Adipisci ut voluptatem modi quiquia.;pHealth;2015;0-17-811451-0;Paul F. Dubois|Dipankar Das 0001|Eros Pasero;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;4;Bernd Blobel;Trevecca Nazarene University;US
